Next Page Token = CfDJ8GNxPX3qpaJEpxfoBSRBZPeyS2TANh94cOiyEimsDdUWUhk759gTOyzWxhaDIuHLzC9RhwzMn8JKmZkoAyiItr0
teamId,teamName,submissionDate,score
16633740,MILANFX,2026-08-18 06:52:03.663000,0.97134
16636196,Maher el Ouahabi,2026-08-19 17:11:02.370000,0.97127
16633796,Optimistix,2026-08-19 19:32:40.210000,0.97126
16633767,Don Mani,2026-08-19 12:59:12.700000,0.97125
16633764,cstdy,2026-08-20 01:02:21.556000,0.97125
16687243,Utkarsh,2026-08-19 22:19:20.636000,0.97124
16639426,Keanan,2026-08-19 00:21:32.023000,0.97124
16634926,Szymon Kłapiński,2026-08-19 13:43:22.856000,0.97124
16634788,Mikhail Naumov,2026-08-19 12:49:58.676000,0.97123
16698321,Changye Li,2026-08-19 12:09:06.420000,0.97122
16684951,Leo,2026-08-18 14:19:26.836000,0.97122
16702366,william950615,2026-08-19 16:31:11.810000,0.97121
16710470,Charles Backman on LinkedIn,2026-08-17 15:59:47.833000,0.97121
16675946,thisray,2026-08-19 16:43:07.423000,0.97120
16636528,Mahog,2026-08-17 13:29:38.563000,0.97120
16653480,delai50,2026-08-19 14:09:59.306000,0.97119
16701216,Teddy Tennant,2026-08-20 00:08:14.663000,0.97118
16716979,Mursal Gorchuyev,2026-08-18 07:45:34.526000,0.97118
16725510,Malhar Ujawane,2026-08-16 16:49:57.403000,0.97118
16635564,Rayk Kretzschmar,2026-08-19 11:55:32.180000,0.97118
16666361,miki,2026-08-19 22:44:00.073000,0.97118
16738206,Atakan Aldemir,2026-08-19 11:41:53,0.97118
16662979,Shashwat Bajpai,2026-08-20 00:08:07.430000,0.97118
16634934,Aman Atar,2026-08-19 21:06:32.130000,0.97117
16734934,BOB,2026-08-19 11:59:29.943000,0.97117
16694520,KK_nut,2026-08-19 00:41:24.086000,0.97117
16705653,JungHwan,2026-08-20 00:45:10.480000,0.97117
16716266,HuiJuan.Yu,2026-08-19 16:56:32.250000,0.97117
16742246,sssskilo,2026-08-19 15:09:27.110000,0.97117
16648936,r0tor,2026-08-19 09:38:10.226000,0.97117
16701481,alexandre santo,2026-08-19 11:54:46.210000,0.97117
16740482,yicong shen,2026-08-19 08:56:19.743000,0.97117
16639212,Maria Startseva,2026-08-19 11:36:33.143000,0.97117
16654846,Emile Andrieu,2026-08-18 21:58:38.676000,0.97117
16738247,Raef Guizani,2026-08-19 14:04:42.743000,0.97117
16633766,Ravi Ramakrishnan,2026-08-19 03:11:51.243000,0.97117
16686117,Laura Liepa,2026-08-19 19:01:45.233000,0.97117
16733707,Aditya2909rb,2026-08-18 15:19:23.906000,0.97117
16690817,Mohamed Saeed,2026-08-18 16:33:08.866000,0.97117
16685415,yukiZ,2026-08-20 00:39:08.200000,0.97117
16633854,Pascal,2026-08-18 16:54:11.620000,0.97117
16633967,Michael Y. Qiu,2026-08-20 00:35:30.173000,0.97117
16634721,Md Abdul Al Hasib,2026-08-19 18:36:46.566000,0.97117
16739620,deepblue,2026-08-18 18:58:33.660000,0.97117
16702634,MJVinay,2026-08-18 19:16:41.173000,0.97117
16665313,Reyhan Ksatria,2026-08-18 21:19:43.263000,0.97117
16670301,Mathieu W,2026-08-18 22:43:02.360000,0.97117
16665633,Charismatic Pizza Party🍕,2026-08-19 02:56:05.633000,0.97117
16634362,Ilya Sevastyanov,2026-08-19 03:20:35.200000,0.97117
16681574,Akhyar,2026-08-19 03:30:56.713000,0.97117
16633933,kglctf,2026-08-19 03:52:20.533000,0.97117
16735507,HBoyang ,2026-08-19 03:55:34.763000,0.97117
16635752,Jeki Wan Taufik,2026-08-19 06:14:06.706000,0.97117
16736938,Raj Aryan Singh,2026-08-19 07:41:58.893000,0.97117
16642971,Mathurin Ache,2026-08-19 08:40:25.740000,0.97117
16673703,Lavanya Bacche,2026-08-19 08:54:37.263000,0.97117
16741781,Peggy,2026-08-19 09:30:51.043000,0.97117
16711205,johnsebin97,2026-08-19 18:30:42.283000,0.97117
16661958,Abdelrahman Goda,2026-08-19 13:09:29.546000,0.97117
16712501,Kunal Desale,2026-08-19 14:20:04.063000,0.97117
